id,source,target,type,sourceFile
REQ-002-refines-REQ-001,REQ-002,REQ-001,refines,requirements.adoc
REQ-003-refines-REQ-001,REQ-003,REQ-001,refines,requirements.adoc
REQ-004-refines-REQ-001,REQ-004,REQ-001,refines,requirements.adoc
REQ-005-refines-REQ-001,REQ-005,REQ-001,refines,requirements.adoc
REQ-007-refines-REQ-006,REQ-007,REQ-006,refines,requirements.adoc
REQ-008-refines-REQ-006,REQ-008,REQ-006,refines,requirements.adoc
REQ-009-refines-REQ-006,REQ-009,REQ-006,refines,requirements.adoc
REQ-010-refines-REQ-006,REQ-010,REQ-006,refines,requirements.adoc
REQ-011-refines-REQ-006,REQ-011,REQ-006,refines,requirements.adoc
REQ-012-refines-REQ-006,REQ-012,REQ-006,refines,requirements.adoc
REQ-014-refines-REQ-013,REQ-014,REQ-013,refines,requirements.adoc
REQ-015-refines-REQ-013,REQ-015,REQ-013,refines,requirements.adoc
REQ-016-refines-REQ-013,REQ-016,REQ-013,refines,requirements.adoc
REQ-017-refines-REQ-013,REQ-017,REQ-013,refines,requirements.adoc
REQ-058-refines-REQ-013,REQ-058,REQ-013,refines,requirements.adoc
REQ-019-refines-REQ-018,REQ-019,REQ-018,refines,requirements.adoc
REQ-020-refines-REQ-018,REQ-020,REQ-018,refines,requirements.adoc
REQ-021-refines-REQ-018,REQ-021,REQ-018,refines,requirements.adoc
REQ-022-refines-REQ-018,REQ-022,REQ-018,refines,requirements.adoc
REQ-023-refines-REQ-018,REQ-023,REQ-018,refines,requirements.adoc
REQ-025-refines-REQ-024,REQ-025,REQ-024,refines,requirements.adoc
REQ-026-refines-REQ-024,REQ-026,REQ-024,refines,requirements.adoc
REQ-027-refines-REQ-024,REQ-027,REQ-024,refines,requirements.adoc
REQ-028-refines-REQ-024,REQ-028,REQ-024,refines,requirements.adoc
REQ-030-refines-REQ-029,REQ-030,REQ-029,refines,requirements.adoc
REQ-034-refines-REQ-029,REQ-034,REQ-029,refines,requirements.adoc
REQ-037-refines-REQ-029,REQ-037,REQ-029,refines,requirements.adoc
REQ-038-refines-REQ-029,REQ-038,REQ-029,refines,requirements.adoc
REQ-039-refines-REQ-029,REQ-039,REQ-029,refines,requirements.adoc
REQ-040-refines-REQ-029,REQ-040,REQ-029,refines,requirements.adoc
REQ-041-refines-REQ-029,REQ-041,REQ-029,refines,requirements.adoc
REQ-042-refines-REQ-029,REQ-042,REQ-029,refines,requirements.adoc
REQ-043-refines-REQ-029,REQ-043,REQ-029,refines,requirements.adoc
REQ-055-refines-REQ-044,REQ-055,REQ-044,refines,requirements.adoc
REQ-045-refines-REQ-044,REQ-045,REQ-044,refines,requirements.adoc
REQ-046-refines-REQ-044,REQ-046,REQ-044,refines,requirements.adoc
REQ-047-refines-REQ-044,REQ-047,REQ-044,refines,requirements.adoc
REQ-048-refines-REQ-044,REQ-048,REQ-044,refines,requirements.adoc
REQ-050-refines-REQ-044,REQ-050,REQ-044,refines,requirements.adoc
REQ-051-refines-REQ-053,REQ-051,REQ-053,refines,requirements.adoc
REQ-052-refines-REQ-053,REQ-052,REQ-053,refines,requirements.adoc
REQ-054-refines-REQ-053,REQ-054,REQ-053,refines,requirements.adoc
REQ-056-refines-REQ-036,REQ-056,REQ-036,refines,requirements.adoc
ARC-001-addresses-REQ-001,ARC-001,REQ-001,addresses,architecture.adoc
ARC-001-addresses-REQ-006,ARC-001,REQ-006,addresses,architecture.adoc
ARC-001-addresses-REQ-009,ARC-001,REQ-009,addresses,architecture.adoc
ARC-001-addresses-REQ-013,ARC-001,REQ-013,addresses,architecture.adoc
ARC-001-addresses-REQ-018,ARC-001,REQ-018,addresses,architecture.adoc
ARC-001-addresses-REQ-024,ARC-001,REQ-024,addresses,architecture.adoc
ARC-001-addresses-REQ-035,ARC-001,REQ-035,addresses,architecture.adoc
ARC-001-addresses-REQ-036,ARC-001,REQ-036,addresses,architecture.adoc
ARC-002-addresses-REQ-001,ARC-002,REQ-001,addresses,architecture.adoc
ARC-002-addresses-REQ-002,ARC-002,REQ-002,addresses,architecture.adoc
ARC-002-addresses-REQ-003,ARC-002,REQ-003,addresses,architecture.adoc
ARC-002-addresses-REQ-004,ARC-002,REQ-004,addresses,architecture.adoc
ARC-002-addresses-REQ-006,ARC-002,REQ-006,addresses,architecture.adoc
ARC-002-addresses-REQ-007,ARC-002,REQ-007,addresses,architecture.adoc
ARC-002-addresses-REQ-008,ARC-002,REQ-008,addresses,architecture.adoc
ARC-002-addresses-REQ-011,ARC-002,REQ-011,addresses,architecture.adoc
ARC-002-addresses-REQ-024,ARC-002,REQ-024,addresses,architecture.adoc
ARC-002-addresses-REQ-025,ARC-002,REQ-025,addresses,architecture.adoc
ARC-002-addresses-REQ-029,ARC-002,REQ-029,addresses,architecture.adoc
ARC-002-addresses-REQ-034,ARC-002,REQ-034,addresses,architecture.adoc
ARC-012-addresses-REQ-019,ARC-012,REQ-019,addresses,architecture.adoc
ARC-012-addresses-REQ-020,ARC-012,REQ-020,addresses,architecture.adoc
ARC-012-addresses-REQ-021,ARC-012,REQ-021,addresses,architecture.adoc
ARC-012-addresses-REQ-022,ARC-012,REQ-022,addresses,architecture.adoc
ARC-012-addresses-REQ-023,ARC-012,REQ-023,addresses,architecture.adoc
ARC-018-addresses-QA-057,ARC-018,QA-057,addresses,architecture.adoc
ARC-028-addresses-REQ-058,ARC-028,REQ-058,addresses,architecture.adoc
ARC-029-addresses-REQ-059,ARC-029,REQ-059,addresses,architecture.adoc
ARC-015-addresses-QA-058,ARC-015,QA-058,addresses,architecture.adoc
ARC-026-addresses-REQ-053,ARC-026,REQ-053,addresses,architecture.adoc
ARC-016-addresses-QA-055,ARC-016,QA-055,addresses,architecture.adoc
