id,source,target,type,sourceFile,bidirectional
UC-001-leads_to-REQ-056,UC-001,REQ-056,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-087,UC-001,REQ-087,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-088,UC-001,REQ-088,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-090,UC-001,REQ-090,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-091,UC-001,REQ-091,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-092,UC-001,REQ-092,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-044,UC-001,REQ-044,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-045,UC-001,REQ-045,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-047,UC-001,REQ-047,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-048,UC-001,REQ-048,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-055,UC-001,REQ-055,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-064,UC-001,REQ-064,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-065,UC-001,REQ-065,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-066,UC-001,REQ-066,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-067,UC-001,REQ-067,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-070,UC-001,REQ-070,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-100,UC-001,REQ-100,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-102,UC-001,REQ-102,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-249,UC-001,REQ-249,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-104,UC-001,REQ-104,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-116,UC-001,REQ-116,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-117,UC-001,REQ-117,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-119,UC-001,REQ-119,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-146,UC-001,REQ-146,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-161,UC-001,REQ-161,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-162,UC-001,REQ-162,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-163,UC-001,REQ-163,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-164,UC-001,REQ-164,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-165,UC-001,REQ-165,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-166,UC-001,REQ-166,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-221,UC-001,REQ-221,leads_to,self-traceability/use-cases.adoc,false
UC-001-leads_to-REQ-222,UC-001,REQ-222,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-086,UC-002,REQ-086,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-170,UC-002,REQ-170,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-171,UC-002,REQ-171,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-172,UC-002,REQ-172,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-173,UC-002,REQ-173,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-175,UC-002,REQ-175,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-176,UC-002,REQ-176,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-177,UC-002,REQ-177,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-178,UC-002,REQ-178,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-223,UC-002,REQ-223,leads_to,self-traceability/use-cases.adoc,false
UC-002-leads_to-REQ-224,UC-002,REQ-224,leads_to,self-traceability/use-cases.adoc,false
UC-004-leads_to-REQ-110,UC-004,REQ-110,leads_to,self-traceability/use-cases.adoc,false
UC-004-leads_to-REQ-144,UC-004,REQ-144,leads_to,self-traceability/use-cases.adoc,false
UC-004-leads_to-REQ-145,UC-004,REQ-145,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-037,UC-005,REQ-037,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-038,UC-005,REQ-038,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-039,UC-005,REQ-039,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-250,UC-005,REQ-250,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-041,UC-005,REQ-041,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-042,UC-005,REQ-042,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-043,UC-005,REQ-043,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-108,UC-005,REQ-108,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-113,UC-005,REQ-113,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-128,UC-005,REQ-128,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-130,UC-005,REQ-130,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-167,UC-005,REQ-167,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-168,UC-005,REQ-168,leads_to,self-traceability/use-cases.adoc,false
UC-005-leads_to-REQ-169,UC-005,REQ-169,leads_to,self-traceability/use-cases.adoc,false
UC-006-leads_to-REQ-083,UC-006,REQ-083,leads_to,self-traceability/use-cases.adoc,false
UC-006-leads_to-REQ-084,UC-006,REQ-084,leads_to,self-traceability/use-cases.adoc,false
UC-006-leads_to-REQ-085,UC-006,REQ-085,leads_to,self-traceability/use-cases.adoc,false
UC-007-leads_to-REQ-109,UC-007,REQ-109,leads_to,self-traceability/use-cases.adoc,false
UC-007-leads_to-REQ-111,UC-007,REQ-111,leads_to,self-traceability/use-cases.adoc,false
UC-007-leads_to-REQ-112,UC-007,REQ-112,leads_to,self-traceability/use-cases.adoc,false
UC-007-leads_to-REQ-150,UC-007,REQ-150,leads_to,self-traceability/use-cases.adoc,false
UC-007-leads_to-REQ-219,UC-007,REQ-219,leads_to,self-traceability/use-cases.adoc,false
UC-007-leads_to-REQ-220,UC-007,REQ-220,leads_to,self-traceability/use-cases.adoc,false
UC-009-leads_to-REQ-051,UC-009,REQ-051,leads_to,self-traceability/use-cases.adoc,false
UC-009-leads_to-REQ-052,UC-009,REQ-052,leads_to,self-traceability/use-cases.adoc,false
UC-009-leads_to-REQ-053,UC-009,REQ-053,leads_to,self-traceability/use-cases.adoc,false
UC-009-leads_to-REQ-054,UC-009,REQ-054,leads_to,self-traceability/use-cases.adoc,false
